BSG|682	CD44|960	CD38|952	CA9|768	MUC16|94025	CD9|928	EGFR|1956	CD70|970	MUC1|4582	FZD10|11211
BSG|682	1	1	6	1	1	3	1	5	1	6
CD44|960	1	1	6	1	1	3	1	5	1	6
CD38|952	0.166666666666667	0.166666666666667	1	0.166666666666667	0.166666666666667	0.25	0.166666666666667	0.5	0.166666666666667	1
CA9|768	1	1	6	1	1	3	1	5	1	6
MUC16|94025	1	1	6	1	1	3	1	5	1	6
CD9|928	0.333333333333333	0.333333333333333	4	0.333333333333333	0.333333333333333	1	0.333333333333333	3	0.333333333333333	4
EGFR|1956	1	1	6	1	1	3	1	5	1	6
CD70|970	0.2	0.2	2	0.2	0.2	0.333333333333333	0.2	1	0.2	2
MUC1|4582	1	1	6	1	1	3	1	5	1	6
FZD10|11211	0.166666666666667	0.166666666666667	1	0.166666666666667	0.166666666666667	0.25	0.166666666666667	0.5	0.166666666666667	1
